User_ID,SquidGame-1,The8Show,Hellbound,AliceInBorderland,SquidGame-2
1,0,0,0,0,0
2,1,1,0,0,0
3,1,1,1,1,1
4,1,1,0,0,1
5,1,1,1,1,1
6,0,1,0,0,0
7,1,0,1,1,0
8,1,0,0,0,0
9,1,1,1,1,1
10,1,0,0,0,0
11,0,1,1,1,0
12,1,1,0,0,0
13,0,0,0,0,0
14,0,1,0,1,0
15,1,0,1,0,0
16,0,0,0,0,1
17,1,1,1,0,1
18,0,0,0,0,1
19,0,0,0,0,0
20,0,0,0,1,0
21,1,0,1,1,1
22,0,1,0,1,1
23,1,0,0,0,0
24,0,1,0,0,0
25,0,0,0,0,0
26,1,1,0,1,1
27,1,1,1,1,1
28,1,1,1,1,1
29,0,0,0,0,0
30,1,0,1,1,1
31,1,1,1,0,0
32,1,0,1,1,0
33,0,1,0,0,1
34,1,0,1,1,1
35,1,1,1,1,1
36,1,0,0,1,0
37,1,1,1,1,1
38,0,0,0,0,0
39,0,0,1,1,1
40,1,1,1,1,1
41,1,1,0,0,0
42,1,1,1,1,1
43,1,1,1,1,1
44,0,0,0,0,0
45,1,1,1,1,1
46,1,1,1,1,1
47,1,1,0,0,1
48,1,1,0,1,0
49,0,0,0,0,0
50,0,0,0,0,0
51,1,1,1,1,1
52,1,1,0,1,1
53,1,0,0,1,1
54,0,0,0,0,0
55,1,1,1,1,1
56,0,0,1,0,1
57,1,1,1,1,0
58,0,0,1,1,1
59,0,0,0,0,0
60,1,1,1,1,1
61,1,1,1,1,1
62,1,1,1,0,0
63,0,0,0,0,0
64,0,1,1,0,0
65,1,1,0,0,1
66,0,1,0,1,1
67,1,1,1,1,1
68,1,1,1,1,1
69,0,0,1,1,1
70,0,0,0,0,0
71,1,0,0,1,1
72,0,0,0,0,0
73,1,1,1,1,0
74,0,0,0,0,0
75,0,1,1,0,0
76,1,0,1,1,1
77,1,1,0,1,1
78,1,1,1,0,0
79,1,1,0,1,1
80,1,0,1,0,0
81,1,1,1,1,1
82,0,0,0,0,0
83,1,0,0,1,1
84,0,0,0,0,0
85,1,1,1,1,0
86,1,1,1,0,0
87,0,0,0,0,0
88,0,0,0,1,0
89,1,1,1,1,0
90,1,1,1,0,0
91,0,0,0,1,1
92,0,0,0,0,0
93,0,0,1,1,0
94,1,1,1,0,1
95,0,0,1,0,0
96,1,1,0,0,1
97,0,0,0,0,1
98,0,0,0,0,0
99,0,1,1,0,0
100,1,1,1,1,1
101,1,0,0,0,0
102,0,1,1,1,1
103,1,0,1,1,1
104,1,1,0,1,1
105,0,0,0,0,0
106,1,1,1,1,1
107,0,0,1,0,0
108,0,0,0,0,0
109,1,1,1,1,1
110,1,0,1,1,1
111,1,1,1,1,1
112,1,1,1,1,1
113,1,1,1,1,0
114,0,1,1,1,1
115,0,0,0,0,1
116,0,1,1,1,0
117,0,0,0,1,1
118,1,1,1,1,1
119,1,1,1,1,1
120,1,1,1,1,1
121,0,1,1,1,1
122,1,1,0,1,1
123,1,1,0,1,1
124,0,0,0,0,0
125,1,0,1,0,1
126,1,1,1,1,1
127,1,0,1,0,0
128,1,1,1,1,1
129,1,1,0,1,1
130,1,1,1,1,1
131,0,0,1,1,1
132,1,1,1,1,1
133,1,1,1,1,0
134,1,1,1,1,1
135,1,0,0,0,0
136,1,1,1,1,0
137,1,1,0,0,1
138,0,1,0,1,0
139,1,1,0,0,0
140,0,1,1,0,0
141,1,1,0,0,0
142,1,1,1,1,0
143,1,1,1,1,1
144,1,1,0,0,0
145,0,0,0,0,1
146,1,0,1,1,1
147,1,1,0,0,1
148,0,0,0,0,0
149,1,1,0,1,1
150,1,1,1,1,0
151,1,1,0,0,0
152,0,0,0,1,0
153,0,0,0,0,1
154,1,0,0,0,1
155,1,1,1,1,0
156,1,1,1,1,1
157,0,1,1,0,0
158,0,1,1,1,1
159,1,1,1,1,1
160,1,1,0,0,0
161,0,1,0,1,0
162,1,1,1,1,1
163,1,0,1,1,1
164,0,0,1,1,1
165,1,1,1,1,1
166,0,0,0,1,1
167,1,0,1,0,0
168,1,1,1,1,1
169,1,1,0,0,0
170,0,0,1,0,0
171,1,1,0,0,0
172,1,1,1,1,0
173,1,1,1,1,1
174,1,0,0,1,1
175,0,0,0,0,1
176,0,0,0,0,0
177,0,0,1,1,1
178,1,1,1,1,1
179,0,0,0,0,0
180,1,1,0,1,1
181,0,1,0,0,0
182,0,0,0,1,0
183,1,1,1,1,1
184,1,0,0,0,0
185,1,1,1,1,0
186,1,1,1,1,1
187,1,1,0,1,1
188,0,1,0,0,1
189,1,1,1,1,1
190,1,0,0,0,1
191,0,0,1,1,1
192,0,0,1,0,0
193,1,1,1,1,1
194,1,0,0,1,1
195,1,1,1,1,1
196,0,0,0,0,0
197,1,1,1,1,0
198,0,0,1,1,1
199,0,0,0,0,0
200,0,0,0,0,0
